"lookback","minDrop","TP","SL","score","return_pct","win_rate","max_dd","trades"
3,2.6,9.5,19.8,0.210193092300218,-11.9802870985619,69.3396226415094,-88.1536629590369,212
5,4.6,7.8,3.3,0.142094880011139,-92.7024306755182,32.8502415458937,-96.8313482620362,828
1,2.1,9.1,7.9,0.191617961693083,-47.0047400786945,48.7940630797774,-91.0374265708061,539
3,5.2,16.9,7.3,0.152744765194383,-52.0671484234716,34.468085106383,-88.7446081109154,235
5,2.2,11.6,11.1,0.196688668326814,-12.3734461967351,52.7950310559006,-89.9994833887522,322
8,13.4,1.7,19.9,0.399779914763553,295.826623447627,95,-46.8967456690051,80
6,15,19,11.2,0.253360285216685,127.6080380703,51.5151515151515,-58.5349007137956,33
7,8.5,11.9,0.6,0.36844978547174,701.879142650976,19.2419825072886,-59.7842432845432,343
10,12.5,0.2,6,0.335458484333217,8.01547240796592,82.6923076923077,-50.8242474075542,156
7,14.4,13.4,19.3,0.281192851376587,136.189518558683,70.5882352941177,-59.4527914597929,34
9,0.1,1.1,4.6,0.194463307101105,-99.943457364549,74.8861730170141,-99.9587100329325,4173
9,8.5,18.4,15.8,0.128302870168556,-85.8774332165186,46.078431372549,-91.9514545343681,102
9,18.4,5.1,18.6,0.373524670547513,255.852806084538,93.5483870967742,-46.8967456690051,31
3,8.5,19.9,5.4,0.251303444805873,136.331959377615,30.5084745762712,-57.7709740675017,118
2,15,15.4,7.3,0.2903031120988,105.027259279638,59.0909090909091,-46.8967456690051,22
5,19.2,18.2,7.7,0.412523287064892,328.676685941794,73.3333333333333,-25.3344777118893,15
9,3.9,9.4,15.3,0.192874723581497,-57.0150507758014,63.2183908045977,-90.8225418642577,261
4,13.8,10.3,3.2,0.214304342900414,18.7416782974616,39.5348837209302,-60.386225798678,43
9,18.5,8.6,7.4,0.448732730437223,422.098123726926,81.4814814814815,-25.1493053897932,27
6,0.2,14.4,7.1,0.172138182978577,-68.0317032683462,36.8794326241135,-90.311753123097,423
8,11.8,6.7,4.5,0.285276029235576,119.143584141615,53.4653465346535,-55.5390712724997,101
1,15.3,19.2,13.1,0.32476339162045,161.306484086067,64.7058823529412,-40.6487090575142,17
6,1.1,12.5,2.9,0.125368633626597,-95.4321025983961,23.191278493558,-97.4135018820094,1009
9,5,6,14.9,0.240867288944884,-22.4712082664833,71.7451523545706,-85.9018740330017,361
6,5.9,17.1,1.9,0.149437460695542,-72.6912211427517,15.866388308977,-87.0925673207428,479
10,10.3,7.8,0.5,0.255823691533766,146.866995760693,25.3846153846154,-63.103956087689,260
6,9.2,8.3,3.7,0.310182485012969,165.443117321758,40.9574468085106,-49.863330773908,188
6,18.2,2,7.2,0.497549024150029,239.189592901098,100,-6.66666666666666,24
4,3.9,12.5,5.7,0.155590267501225,-85.2319420392718,34.7222222222222,-93.7171054216797,504
7,19.1,2.2,7.5,0.49229066135794,215.769903104573,100,-6.66666666666666,22
6,0.3,5.4,14.2,0.226867663396122,-70.0011730214629,72.5971370143149,-89.8092769938289,489
10,0.5,4.2,4.7,0.164913377131388,-98.1880792133991,52.5882352941176,-98.7650405171256,1700
5,3.3,14.5,10.9,0.202144681557641,68.9255110964588,47.7777777777778,-88.028986910721,270
5,1.3,1.5,15.8,0.253629835107756,-53.9470603401511,88.6302596239928,-89.8683611556687,1117
2,1.7,18.8,7.8,0.150958236596031,-62.3353970727512,33.6538461538462,-92.2065899416406,312
9,13.4,11.5,17.3,0.269394026214434,60.7452241712498,67.3913043478261,-58.8462401912521,46
6,10.1,9.3,7.4,0.27466922459569,128.381908660502,52.6315789473684,-60.257426214803,114
1,5.2,18.6,14.6,0.11036116890122,-93.4853393575314,42.5925925925926,-96.2206277101264,108
1,10.6,3.3,19.9,0.315287572784291,76.7099063894169,88.3720930232558,-54.6218475073991,43
2,6.3,2.5,3.7,0.308989267984716,31.8881071868653,60.6707317073171,-59.436846750423,328
7,6.1,15.5,17.8,0.191920868538433,-29.131107161944,57.5757575757576,-82.2149316671444,132
2,17.8,0.3,10.5,0.323699716199974,20.9164067054985,93.75,-46.8967456690051,16
10,17.7,2.2,5.5,0.325973031937038,117.828397303739,82.2222222222222,-50.7034775244883,45
10,6.4,13,14.3,0.197199248234545,2.29663062992526,55.7894736842105,-85.2728665218695,190
